Sample Rate Mismatch	Freqüència de mostreig diferent	Frecuencia de muestreo distinta
The selected clock device isn't available right now, so this driver has fallen back to its own clock and is advertising itself as a poor one. If it's Avid hardware, Pro Tools has it — see below.	El dispositiu de rellotge triat no està disponible ara mateix, o sigui que aquest driver ha tornat al seu propi rellotge i s'anuncia com un de dolent. Si és maquinari d'Avid, el té Pro Tools: mira-ho més avall.	El dispositivo de reloj elegido no está disponible ahora mismo, así que este driver ha vuelto a su propio reloj y se anuncia como uno malo. Si es hardware de Avid, lo tiene Pro Tools: míralo más abajo.
Pro Tools hardware found — but Pro Tools takes it exclusively and doesn't go through Core Audio, so this device disappears the moment Pro Tools launches. It is only usable as a clock reference while Pro Tools is closed.\n\nTo actually run the network on the HDX clock, the tap has to be hardware: MTRX taking DigiLink and leading the audio network, or word clock out of an HD interface (or Sync X) into the network's PTP grandmaster. Then leave this driver on Internal and let it follow that grandmaster as a slave. See Docs/taking_clock_from_digilink.md.	Maquinari de Pro Tools trobat, però Pro Tools se'l queda en exclusiva i no passa per Core Audio, o sigui que aquest dispositiu desapareix en obrir Pro Tools. Només serveix de referència de rellotge amb Pro Tools tancat.\n\nPer fer córrer la xarxa amb el rellotge de l'HDX de debò, la presa ha de ser de maquinari: una MTRX agafant el DigiLink i liderant la xarxa d'àudio, o el word clock d'una interfície HD (o d'una Sync X) cap al grandmaster PTP de la xarxa. Llavors deixa aquest driver a Internal i que segueixi aquell grandmaster com a esclau. Mira Docs/taking_clock_from_digilink.md.	Hardware de Pro Tools encontrado, pero Pro Tools se lo queda en exclusiva y no pasa por Core Audio, así que este dispositivo desaparece al abrir Pro Tools. Solo sirve como referencia de reloj con Pro Tools cerrado.\n\nPara hacer funcionar la red con el reloj del HDX de verdad, la toma tiene que ser de hardware: una MTRX tomando el DigiLink y liderando la red de audio, o el word clock de una interfaz HD (o de una Sync X) hacia el grandmaster PTP de la red. Entonces deja este driver en Internal y que siga a ese grandmaster como esclavo. Mira Docs/taking_clock_from_digilink.md.
Changes apply the next time Core Audio restarts, not immediately.	Els canvis s'apliquen el proper cop que Core Audio arrenqui, no a l'instant.	Los cambios se aplican la próxima vez que Core Audio arranque, no al instante.
Restart Core Audio to Apply	Reinicia Core Audio per aplicar-ho	Reiniciar Core Audio para aplicarlo
Refresh Device List	Actualitza la llista de dispositius	Actualizar la lista de dispositivos
Refresh Diagnostics	Actualitza el diagnòstic	Actualizar el diagnóstico
Reset Counters	Posa els comptadors a zero	Poner los contadores a cero
BLOCKED	BLOQUEJAT	BLOQUEADO
Quick Start Setup	Configuració ràpida	Configuración rápida
Skip	Omet	Omitir
Welcome to AES67 Manager	Benvingut a l'AES67 Manager	Bienvenido a AES67 Manager
This wizard will help you set up your first AES67 audio stream in just a few steps.	Aquest assistent et guia per posar el teu primer flux d'àudio AES67 en uns quants passos.	Este asistente te guía para poner tu primer flujo de audio AES67 en unos pocos pasos.
AES67 allows you to receive professional audio streams over your network with sample-accurate synchronization.	AES67 et permet rebre fluxos d'àudio professionals per la teva xarxa amb sincronització a nivell de mostra.	AES67 te permite recibir flujos de audio profesionales por tu red con sincronización a nivel de muestra.
Get Started	Comença	Empezar
Network Check	Comprovació de la xarxa	Comprobación de la red
Verifying your network is ready for AES67	Comprovant que la xarxa està a punt per a AES67	Comprobando que la red está lista para AES67
Network Interface:	Interfície de xarxa:	Interfaz de red:
Install the AES67 driver package to continue.	Instal·la el driver AES67 per continuar.	Instala el driver AES67 para continuar.
Back	Enrere	Atrás
Recheck	Torna a comprovar	Volver a comprobar
Next	Següent	Siguiente
Add Your First Stream	Afegeix el teu primer flux	Añade tu primer flujo
Choose how to add an AES67 stream	Tria com afegir un flux AES67	Elige cómo añadir un flujo AES67
Add Method	Manera d'afegir-lo	Manera de añadirlo
Scanning network for AES67 streams...	Buscant fluxos AES67 a la xarxa…	Buscando flujos AES67 en la red…
No streams discovered	Cap flux descobert	Ningún flujo descubierto
Scan Again	Torna a buscar	Volver a buscar
Stream Name	Nom del flux	Nombre del flujo
Multicast IP	Adreça multicast	Dirección multicast
Port	Port	Puerto
Drag & drop SDP file here	Arrossega aquí un fitxer SDP	Arrastra aquí un archivo SDP
or	o	o
Choose File...	Tria un fitxer…	Elegir archivo…
You're All Set!	Tot a punt!	¡Todo listo!
No streams added yet, but you can add them anytime from the main window.	Encara no hi ha cap flux, però en pots afegir quan vulguis des de la finestra principal.	Aún no hay ningún flujo, pero puedes añadirlos cuando quieras desde la ventana principal.
Show in Menu Bar	Mostra'l a la barra de menús	Mostrar en la barra de menús
Quick access to stream status	Accés ràpid a l'estat dels fluxos	Acceso rápido al estado de los flujos
Launch at Login	Obre'l en iniciar la sessió	Abrir al iniciar sesión
Start automatically when you log in	S'obre sol quan inicies la sessió	Se abre solo cuando inicias sesión
Quick Tips:	Consells ràpids:	Consejos rápidos:
Finish Setup	Acaba la configuració	Terminar la configuración
OK	D'acord	De acuerdo
Senders across, receivers down. Click a crosspoint to connect or disconnect over NMOS IS-05.	Emissors en columnes, receptors en files. Clica una cruïlla per connectar o desconnectar per NMOS IS-05.	Emisores en columnas, receptores en filas. Pulsa un cruce para conectar o desconectar por NMOS IS-05.
No NMOS nodes found yet	Encara no s'ha trobat cap node NMOS	Aún no se ha encontrado ningún nodo NMOS
Nodes announce themselves as _nmos-node._tcp over Bonjour. This Mac appears here once its driver is active.	Els nodes s'anuncien com a _nmos-node._tcp per Bonjour. Aquest Mac hi surt quan el seu driver és actiu.	Los nodos se anuncian como _nmos-node._tcp por Bonjour. Este Mac aparece aquí cuando su driver está activo.
unreachable	inabastable	inalcanzable
read-only	només lectura	solo lectura
fixed source	font fixa	fuente fija
free	lliure	libre
General	General	General
Audio	Àudio	Audio
Driver	Driver	Driver
About	Quant a	Acerca de
Status Updates	Actualització d'estat	Actualización de estado
Auto-refresh stream status	Actualitza sol l'estat dels fluxos	Actualizar solo el estado de los flujos
Refresh interval	Interval d'actualització	Intervalo de actualización
Appearance	Aspecte	Aspecto
Show detailed statistics	Mostra estadístiques detallades	Mostrar estadísticas detalladas
Show channel visualization	Mostra la vista de canals	Mostrar la vista de canales
Device Sample Rate	Freqüència del dispositiu	Frecuencia del dispositivo
Current device rate	Freqüència actual del dispositiu	Frecuencia actual del dispositivo
Buffer	Memòria intermèdia	Búfer
Buffer size	Mida de la memòria intermèdia	Tamaño del búfer
Managed by driver	La gestiona el driver	La gestiona el driver
Format Info	Dades de format	Datos de formato
Supported encodings	Codificacions admeses	Codificaciones admitidas
L16, L24	L16, L24	L16, L24
Max channels	Canals màxims	Canales máximos
128	128	128
Channels in use	Canals en ús	Canales en uso
Network Interface	Interfície de xarxa	Interfaz de red
Preferred interface	Interfície preferida	Interfaz preferida
Automatic	Automàtica	Automática
Discovery	Descobriment	Descubrimiento
Run every discovery route, whatever the profile	Fes córrer totes les vies de descobriment, sigui quin sigui el perfil	Ejecutar todas las vías de descubrimiento, sea cual sea el perfil
Changing this restarts Core Audio and asks for an administrator password: the driver reads the setting when Core Audio builds it.	Canviar-ho reinicia Core Audio i demana contrasenya d'administrador: el driver llegeix l'opció quan Core Audio el construeix.	Cambiarlo reinicia Core Audio y pide contraseña de administrador: el driver lee la opción cuando Core Audio lo construye.
Multicast Defaults	Valors multicast per defecte	Valores multicast por defecto
Default TTL	TTL per defecte	TTL por defecto
Default port	Port per defecte	Puerto por defecto
Driver Status	Estat del driver	Estado del driver
Status	Estat	Estado
Version	Versió	Versión
Location	Ubicació	Ubicación
/Library/Audio/Plug-Ins/HAL/	/Library/Audio/Plug-Ins/HAL/	/Library/Audio/Plug-Ins/HAL/
Actions	Accions	Acciones
Restart Core Audio	Reinicia Core Audio	Reiniciar Core Audio
Check Driver Installation	Comprova la instal·lació del driver	Comprobar la instalación del driver
AES67 Audio Driver	Driver d'àudio AES67	Driver de audio AES67
Professional AES67/RAVENNA/Dante audio driver for macOS	Driver d'àudio professional AES67/RAVENNA/Dante per a macOS	Driver de audio profesional AES67/RAVENNA/Dante para macOS
Features:	Característiques:	Características:
128 audio channels	128 canals d'àudio	128 canales de audio
L16 and L24 encoding	Codificació L16 i L24	Codificación L16 y L24
PTP synchronization	Sincronització PTP	Sincronización PTP
Multiple simultaneous streams	Diversos fluxos alhora	Varios flujos a la vez
Device Channel Allocation	Repartiment de canals del dispositiu	Reparto de canales del dispositivo
Remove Stream	Treu el flux	Quitar el flujo
Export SDP...	Exporta el SDP…	Exportar el SDP…
View Details	Mira'n els detalls	Ver los detalles
Statistics	Estadístiques	Estadísticas
Total Channels	Canals totals	Canales totales
PTP Diagnostics	Diagnòstic PTP	Diagnóstico PTP
\u{00B7}	\u{00B7}	\u{00B7}
Import SDP File...	Importa un fitxer SDP…	Importar un archivo SDP…
Add Stream Manually...	Afegeix un flux a mà…	Añadir un flujo a mano…
Refresh Status	Actualitza l'estat	Actualizar el estado
Quick Start Guide...	Guia d'inici ràpid…	Guía de inicio rápido…
AES67 Manager Help	Ajuda de l'AES67 Manager	Ayuda de AES67 Manager
